Position,Starting Grid,kaggle_driver_id,raceId,finished,dnf,laps_down,time_gap_sec,year,Team,Track,rain,sunny
14,20,817,1024,1.0,0.0,0.0,37.66,2019,Renault,Singapore,0,1
15,14,826,1024,1.0,0.0,0.0,38.178,2019,Toro Rosso,Singapore,0,1
16,19,9,1024,1.0,0.0,0.0,47.024,2019,Williams,Singapore,0,1
17,13,825,1024,1.0,0.0,0.0,86.522,2019,Haas,Singapore,0,1
NC,12,8,1024,0.0,1.0,,,2019,Alfa Romeo,Singapore,0,1
NC,15,815,1024,0.0,1.0,,,2019,Racing Point,Singapore,0,1
NC,18,847,1024,0.0,1.0,,,2019,Williams,Singapore,0,1
1,2,1,1025,1.0,0.0,0.0,0.0,2019,Mercedes,Russia,1,1
2,4,822,1025,1.0,0.0,0.0,3.829,2019,Mercedes,Russia,1,1
3,1,844,1025,1.0,0.0,0.0,5.212,2019,Ferrari,Russia,1,1
4,9,830,1025,1.0,0.0,0.0,14.21,2019,Red Bull Racing,Russia,1,1
5,20,848,1025,1.0,0.0,0.0,38.348,2019,Red Bull Racing,Russia,1,1
6,5,832,1025,1.0,0.0,0.0,45.889,2019,McLaren,Russia,1,1
7,11,815,1025,1.0,0.0,0.0,48.728,2019,Racing Point,Russia,1,1
8,7,846,1025,1.0,0.0,0.0,57.749,2019,McLaren,Russia,1,1
9,13,825,1025,1.0,0.0,0.0,58.779,2019,Haas,Russia,1,1
10,6,807,1025,1.0,0.0,0.0,59.841,2019,Renault,Russia,1,1
11,14,840,1025,1.0,0.0,0.0,60.821,2019,Racing Point,Russia,1,1
12,19,826,1025,1.0,0.0,0.0,62.496,2019,Toro Rosso,Russia,1,1
13,15,8,1025,1.0,0.0,0.0,68.91,2019,Alfa Romeo,Russia,1,1
14,16,842,1025,1.0,0.0,0.0,70.076,2019,Toro Rosso,Russia,1,1
15,12,841,1025,1.0,0.0,0.0,73.346,2019,Alfa Romeo,Russia,1,1
NC,18,9,1025,0.0,1.0,,,2019,Williams,Russia,1,1
NC,17,847,1025,0.0,1.0,,,2019,Williams,Russia,1,1
NC,3,20,1025,0.0,1.0,,,2019,Ferrari,Russia,1,1
NC,10,817,1025,0.0,1.0,,,2019,Renault,Russia,1,1
NC,8,154,1025,0.0,1.0,,,2019,Haas,Russia,1,1
1,3,822,1026,1.0,0.0,0.0,0.0,2019,Mercedes,Japan,0,1
2,1,20,1026,1.0,0.0,0.0,13.343,2019,Ferrari,Japan,0,1
3,4,1,1026,1.0,0.0,0.0,13.858,2019,Mercedes,Japan,0,1
4,6,848,1026,1.0,0.0,0.0,59.537,2019,Red Bull Racing,Japan,0,1
5,7,832,1026,1.0,0.0,0.0,69.101,2019,McLaren,Japan,0,1
DQ,16,817,1026,1.0,0.0,1.0,,2019,Renault,Japan,0,1
6,2,844,1026,1.0,0.0,1.0,,2019,Ferrari,Japan,0,1
7,9,842,1026,1.0,0.0,1.0,,2019,Toro Rosso,Japan,0,1
8,17,815,1026,1.0,0.0,1.0,,2019,Racing Point,Japan,0,1
DQ,15,807,1026,1.0,0.0,1.0,,2019,Renault,Japan,0,1
9,12,840,1026,1.0,0.0,1.0,,2019,Racing Point,Japan,0,1
10,14,826,1026,1.0,0.0,1.0,,2019,Toro Rosso,Japan,0,1
11,8,846,1026,1.0,0.0,1.0,,2019,McLaren,Japan,0,1
12,13,8,1026,1.0,0.0,1.0,,2019,Alfa Romeo,Japan,0,1
13,10,154,1026,1.0,0.0,1.0,,2019,Haas,Japan,0,1
14,11,841,1026,1.0,0.0,1.0,,2019,Alfa Romeo,Japan,0,1
