Position,Starting Grid,kaggle_driver_id,raceId,finished,dnf,laps_down,time_gap_sec
4,4,844,1114,1.0,0.0,0.0,43.998
5,7,1,1114,1.0,0.0,0.0,49.376
6,6,832,1114,1.0,0.0,0.0,50.221
7,8,847,1114,1.0,0.0,0.0,57.659
8,10,4,1114,1.0,0.0,0.0,74.725
9,14,839,1114,1.0,0.0,0.0,79.678
10,12,842,1114,1.0,0.0,0.0,83.155
11,11,859,1114,1.0,0.0,1.0,
12,9,852,1114,1.0,0.0,1.0,
13,19,855,1114,1.0,0.0,1.0,
14,18,807,1114,1.0,0.0,1.0,
15,15,825,1114,1.0,0.0,1.0,
NC,13,848,1114,0.0,1.0,,
NC,20,858,1114,0.0,1.0,,
NC,17,840,1114,0.0,1.0,,
NC,5,815,1114,0.0,1.0,,
NC,16,822,1114,0.0,1.0,,
1,1,830,1115,1.0,0.0,0.0,0.0
2,6,857,1115,1.0,0.0,0.0,4.833
3,10,846,1115,1.0,0.0,0.0,5.969
4,2,847,1115,1.0,0.0,0.0,34.119
5,5,844,1115,1.0,0.0,0.0,38.976
6,4,4,1115,1.0,0.0,0.0,49.032
7,8,839,1115,1.0,0.0,0.0,62.39
8,9,822,1115,1.0,0.0,0.0,66.563
9,19,855,1115,1.0,0.0,0.0,76.127
10,20,815,1115,1.0,0.0,0.0,80.181
11,16,840,1115,1.0,0.0,0.0,81.652
12,7,842,1115,1.0,0.0,0.0,82.3
13,13,848,1115,1.0,0.0,0.0,91.014
14,18,825,1115,1.0,0.0,1.0,
15,11,852,1115,1.0,0.0,1.0,
16,14,807,1115,1.0,0.0,1.0,
17,17,859,1115,1.0,0.0,1.0,
NC,15,858,1115,0.0,1.0,,
NC,3,1,1115,0.0,1.0,,
NC,12,832,1115,0.0,1.0,,
1,6,830,1116,1.0,0.0,0.0,0.0
DQ,3,1,1116,1.0,0.0,0.0,2.225
2,2,846,1116,1.0,0.0,0.0,10.73
3,4,832,1116,1.0,0.0,0.0,15.134
4,9,815,1116,1.0,0.0,0.0,18.46
DQ,1,844,1116,1.0,0.0,0.0,24.662
5,5,847,1116,1.0,0.0,0.0,24.999
6,7,842,1116,1.0,0.0,0.0,47.996
7,20,840,1116,1.0,0.0,0.0,48.696
8,11,852,1116,1.0,0.0,0.0,74.385
9,15,848,1116,1.0,0.0,0.0,86.714
10,16,858,1116,1.0,0.0,0.0,87.998
11,18,807,1116,1.0,0.0,0.0,89.904
12,13,822,1116,1.0,0.0,0.0,98.601
13,12,855,1116,1.0,0.0,1.0,
14,17,825,1116,1.0,0.0,1.0,
15,14,817,1116,1.0,0.0,1.0,
NC,19,4,1116,0.0,1.0,,
NC,10,857,1116,0.0,1.0,,
NC,8,839,1116,0.0,1.0,,
1,3,830,1117,1.0,0.0,0.0,0.0
2,6,1,1117,1.0,0.0,0.0,13.875
3,1,844,1117,1.0,0.0,0.0,23.124
4,2,832,1117,1.0,0.0,0.0,27.154
5,17,846,1117,1.0,0.0,0.0,33.266
6,8,847,1117,1.0,0.0,0.0,41.02
7,4,817,1117,1.0,0.0,0.0,41.57
8,7,857,1117,1.0,0.0,0.0,43.104
9,14,848,1117,1.0,0.0,0.0,48.573
10,15,839,1117,1.0,0.0,0.0,62.879
11,11,842,1117,1.0,0.0,0.0,66.208
12,18,852,1117,1.0,0.0,0.0,78.982
13,12,807,1117,1.0,0.0,0.0,80.309
14,10,855,1117,1.0,0.0,0.0,81.676
15,9,822,1117,1.0,0.0,0.0,85.597
16,19,858,1117,0.0,1.0,,
17,20,840,1117,0.0,1.0,,
NC,13,4,1117,0.0,1.0,,
NC,16,825,1117,0.0,1.0,,
NC,5,815,1117,0.0,1.0,,
1,1,830,1118,1.0,0.0,0.0,0.0
2,6,846,1118,1.0,0.0,0.0,8.227
3,4,4,1118,1.0,0.0,0.0,34.155
4,9,815,1118,1.0,0.0,0.0,34.208
5,3,840,1118,1.0,0.0,0.0,40.845
6,7,832,1118,1.0,0.0,0.0,50.188
7,15,842,1118,1.0,0.0,0.0,56.093
8,5,1,1118,1.0,0.0,0.0,62.859
9,16,852,1118,1.0,0.0,0.0,69.88
10,14,839,1118,1.0,0.0,1.0,
11,19,858,1118,1.0,0.0,1.0,
12,11,807,1118,1.0,0.0,1.0,
13,17,817,1118,1.0,0.0,1.0,
14,10,857,1118,1.0,0.0,2.0,
NC,8,847,1118,0.0,1.0,,
NC,18,822,1118,0.0,1.0,,
NC,20,855,1118,0.0,1.0,,
NC,12,825,1118,0.0,1.0,,
NC,13,848,1118,0.0,1.0,,
NC,2,844,1118,0.0,1.0,,
1,2,830,1119,1.0,0.0,0.0,0.0
2,1,844,1119,1.0,0.0,0.0,2.07
3,11,815,1119,1.0,0.0,0.0,2.241
4,16,839,1119,1.0,0.0,0.0,18.665
5,19,840,1119,1.0,0.0,0.0,20.067
6,12,832,1119,1.0,0.0,0.0,20.834
7,10,1,1119,1.0,0.0,0.0,21.755
8,3,847,1119,1.0,0.0,0.0,23.091
9,9,4,1119,1.0,0.0,0.0,25.964
10,18,857,1119,1.0,0.0,0.0,29.496
11,4,842,1119,1.0,0.0,0.0,34.27
12,5,848,1119,1.0,0.0,0.0,43.398
13,8,825,1119,1.0,0.0,0.0,44.825
14,14,817,1119,1.0,0.0,0.0,48.525
15,17,855,1119,1.0,0.0,0.0,50.162
16,6,858,1119,1.0,0.0,0.0,50.882
17,7,822,1119,1.0,0.0,0.0,85.35
18,20,852,1119,0.0,1.0,,
19,13,807,1119,0.0,1.0,,
NC,15,846,1119,0.0,1.0,,
1,1,830,1120,1.0,0.0,0.0,0.0
2,2,844,1120,1.0,0.0,0.0,17.993
3,4,847,1120,1.0,0.0,0.0,20.328
4,9,815,1120,1.0,0.0,0.0,21.453
5,5,846,1120,1.0,0.0,0.0,24.284
6,3,857,1120,1.0,0.0,0.0,31.487
7,7,4,1120,1.0,0.0,0.0,39.512
8,6,852,1120,1.0,0.0,0.0,43.088
9,11,1,1120,1.0,0.0,0.0,44.424
10,13,840,1120,1.0,0.0,0.0,55.632
11,15,817,1120,1.0,0.0,0.0,56.229
12,12,839,1120,1.0,0.0,0.0,66.373
13,10,842,1120,1.0,0.0,0.0,70.36
14,14,848,1120,1.0,0.0,0.0,73.184
15,8,807,1120,1.0,0.0,0.0,83.696
16,20,858,1120,1.0,0.0,0.0,87.791
17,19,855,1120,1.0,0.0,0.0,89.422
18,16,832,1120,0.0,1.0,,
19,18,822,1120,1.0,0.0,1.0,
20,17,825,1120,1.0,0.0,1.0,
