Position,Starting Grid,kaggle_driver_id,finished,dnf,laps_down,time_gap_sec,year,Team,Track,raceId,rain,sunny
15,20,842.0,1.0,0.0,1.0,,2025,Alpine,Canada,1154,0.0,1.0
16,12,864.0,1.0,0.0,1.0,,2025,Racing Bulls,Canada,1154,0.0,1.0
17,17,840.0,1.0,0.0,1.0,,2025,Aston Martin,Canada,1154,0.0,1.0
18,7,846.0,0.0,1.0,,,2025,McLaren,Canada,1154,0.0,1.0
NC,19,859.0,0.0,1.0,,,2025,Racing Bulls,Canada,1154,0.0,1.0
NC,9,848.0,0.0,1.0,,,2025,Williams,Canada,1154,0.0,1.0
1,1,846.0,1.0,0.0,0.0,0.0,2025,McLaren,Austria,1155,0.0,1.0
2,3,857.0,1.0,0.0,0.0,2.695,2025,McLaren,Austria,1155,0.0,1.0
3,2,844.0,1.0,0.0,0.0,19.82,2025,Ferrari,Austria,1155,0.0,1.0
4,4,1.0,1.0,0.0,0.0,29.02,2025,Ferrari,Austria,1155,0.0,1.0
5,5,847.0,1.0,0.0,0.0,62.396,2025,Mercedes,Austria,1155,0.0,1.0
6,6,859.0,1.0,0.0,0.0,67.754,2025,Racing Bulls,Austria,1155,0.0,1.0
7,11,4.0,1.0,0.0,1.0,,2025,Aston Martin,Austria,1155,0.0,1.0
8,8,865.0,1.0,0.0,1.0,,2025,Kick Sauber,Austria,1155,0.0,1.0
9,20,807.0,1.0,0.0,1.0,,2025,Kick Sauber,Austria,1155,0.0,1.0
10,17,839.0,1.0,0.0,1.0,,2025,Haas,Austria,1155,0.0,1.0
11,15,860.0,1.0,0.0,1.0,,2025,Haas,Austria,1155,0.0,1.0
12,13,864.0,1.0,0.0,1.0,,2025,Racing Bulls,Austria,1155,0.0,1.0
13,10,842.0,1.0,0.0,1.0,,2025,Alpine,Austria,1155,0.0,1.0
14,16,840.0,1.0,0.0,1.0,,2025,Aston Martin,Austria,1155,0.0,1.0
15,14,861.0,1.0,0.0,1.0,,2025,Alpine,Austria,1155,0.0,1.0
16,18,852.0,1.0,0.0,2.0,,2025,Red Bull Racing,Austria,1155,0.0,1.0
NC,12,848.0,0.0,1.0,,,2025,Williams,Austria,1155,0.0,1.0
NC,7,830.0,0.0,1.0,,,2025,Red Bull Racing,Austria,1155,0.0,1.0
NC,9,863.0,0.0,1.0,,,2025,Mercedes,Austria,1155,0.0,1.0
NC,19,832.0,0.0,1.0,,,2025,Williams,Austria,1155,0.0,1.0
1,3,846.0,1.0,0.0,0.0,0.0,2025,McLaren,Great Britain,1156,1.0,1.0
2,2,857.0,1.0,0.0,0.0,6.812,2025,McLaren,Great Britain,1156,1.0,1.0
3,19,807.0,1.0,0.0,0.0,34.742,2025,Kick Sauber,Great Britain,1156,1.0,1.0
4,5,1.0,1.0,0.0,0.0,39.812,2025,Ferrari,Great Britain,1156,1.0,1.0
5,1,830.0,1.0,0.0,0.0,56.781,2025,Red Bull Racing,Great Britain,1156,1.0,1.0
6,8,842.0,1.0,0.0,0.0,59.857,2025,Alpine,Great Britain,1156,1.0,1.0
7,17,840.0,1.0,0.0,0.0,60.603,2025,Aston Martin,Great Britain,1156,1.0,1.0
8,13,848.0,1.0,0.0,0.0,64.135,2025,Williams,Great Britain,1156,1.0,1.0
9,7,4.0,1.0,0.0,0.0,65.868,2025,Aston Martin,Great Britain,1156,1.0,1.0
10,4,847.0,1.0,0.0,0.0,70.674,2025,Mercedes,Great Britain,1156,1.0,1.0
11,18,860.0,1.0,0.0,0.0,72.095,2025,Haas,Great Britain,1156,1.0,1.0
12,9,832.0,1.0,0.0,0.0,76.592,2025,Williams,Great Britain,1156,1.0,1.0
13,14,839.0,1.0,0.0,0.0,77.301,2025,Haas,Great Britain,1156,1.0,1.0
14,6,844.0,1.0,0.0,0.0,84.477,2025,Ferrari,Great Britain,1156,1.0,1.0
15,11,852.0,1.0,0.0,1.0,,2025,Red Bull Racing,Great Britain,1156,1.0,1.0
NC,10,863.0,0.0,1.0,,,2025,Mercedes,Great Britain,1156,1.0,1.0
NC,12,864.0,0.0,1.0,,,2025,Racing Bulls,Great Britain,1156,1.0,1.0
NC,16,865.0,0.0,1.0,,,2025,Kick Sauber,Great Britain,1156,1.0,1.0
NC,15,859.0,0.0,1.0,,,2025,Racing Bulls,Great Britain,1156,1.0,1.0
NC,20,861.0,0.0,1.0,,,2025,Alpine,Great Britain,1156,1.0,1.0
1,2,857.0,1.0,0.0,0.0,0.0,2025,McLaren,Belgium,1157,1.0,0.0
2,1,846.0,1.0,0.0,0.0,3.415,2025,McLaren,Belgium,1157,1.0,0.0
3,3,844.0,1.0,0.0,0.0,20.185,2025,Ferrari,Belgium,1157,1.0,0.0
4,4,830.0,1.0,0.0,0.0,21.731,2025,Red Bull Racing,Belgium,1157,1.0,0.0
5,6,847.0,1.0,0.0,0.0,34.863,2025,Mercedes,Belgium,1157,1.0,0.0
6,5,848.0,1.0,0.0,0.0,39.926,2025,Williams,Belgium,1157,1.0,0.0
7,18,1.0,1.0,0.0,0.0,40.679,2025,Ferrari,Belgium,1157,1.0,0.0
8,9,859.0,1.0,0.0,0.0,52.033,2025,Racing Bulls,Belgium,1157,1.0,0.0
9,10,865.0,1.0,0.0,0.0,56.434,2025,Kick Sauber,Belgium,1157,1.0,0.0
10,13,842.0,1.0,0.0,0.0,72.714,2025,Alpine,Belgium,1157,1.0,0.0
11,12,860.0,1.0,0.0,0.0,73.145,2025,Haas,Belgium,1157,1.0,0.0
12,14,807.0,1.0,0.0,0.0,73.628,2025,Kick Sauber,Belgium,1157,1.0,0.0
13,7,852.0,1.0,0.0,0.0,75.395,2025,Red Bull Racing,Belgium,1157,1.0,0.0
14,16,840.0,1.0,0.0,0.0,79.831,2025,Aston Martin,Belgium,1157,1.0,0.0
15,11,839.0,1.0,0.0,0.0,86.063,2025,Haas,Belgium,1157,1.0,0.0
16,19,863.0,1.0,0.0,0.0,86.721,2025,Mercedes,Belgium,1157,1.0,0.0
17,20,4.0,1.0,0.0,0.0,87.924,2025,Aston Martin,Belgium,1157,1.0,0.0
18,17,832.0,1.0,0.0,0.0,92.024,2025,Williams,Belgium,1157,1.0,0.0
19,15,861.0,1.0,0.0,0.0,95.25,2025,Alpine,Belgium,1157,1.0,0.0
20,8,864.0,1.0,0.0,1.0,,2025,Racing Bulls,Belgium,1157,1.0,0.0
1,3,846.0,1.0,0.0,0.0,0.0,2025,McLaren,Hungary,1158,0.0,1.0
2,2,857.0,1.0,0.0,0.0,0.698,2025,McLaren,Hungary,1158,0.0,1.0
3,4,847.0,1.0,0.0,0.0,21.916,2025,Mercedes,Hungary,1158,0.0,1.0
4,1,844.0,1.0,0.0,0.0,42.56,2025,Ferrari,Hungary,1158,0.0,1.0
5,5,4.0,1.0,0.0,0.0,59.04,2025,Aston Martin,Hungary,1158,0.0,1.0
