Position,Starting Grid,kaggle_driver_id,raceId,finished,dnf,laps_down,time_gap_sec,year,Team,Track,rain,sunny,quali_position,participated_q2,participated_q3,q1_time_sec,q2_time_sec,q3_time_sec
11,11.0,832,1016,1.0,0.0,1.0,,2019,McLaren,Canada,0,1,9.0,1.0,1.0,71.75,71.572,73.981
12,15.0,815,1016,1.0,0.0,1.0,,2019,Racing Point,Canada,0,1,16.0,0.0,0.0,72.197,,
13,12.0,841,1016,1.0,0.0,1.0,,2019,Alfa Romeo,Canada,0,1,13.0,1.0,0.0,72.122,72.136,
14,14.0,154,1016,1.0,0.0,1.0,,2019,Haas,Canada,0,1,15.0,0.0,0.0,72.109,,
15,16.0,8,1016,1.0,0.0,1.0,,2019,Alfa Romeo,Canada,0,1,17.0,0.0,0.0,72.23,,
16,18.0,847,1016,1.0,0.0,2.0,,2019,Williams,Canada,0,1,19.0,0.0,0.0,73.617,,
17,20.0,825,1016,1.0,0.0,2.0,,2019,Haas,Canada,0,1,10.0,1.0,0.0,72.107,71.786,
18,19.0,9,1016,1.0,0.0,3.0,,2019,Williams,Canada,0,1,20.0,0.0,0.0,74.393,,
NC,13.0,848,1016,0.0,1.0,,,2019,Red Bull Racing,Canada,0,1,14.0,1.0,0.0,72.02,72.193,
NC,8.0,846,1016,0.0,1.0,,,2019,McLaren,Canada,0,1,8.0,1.0,1.0,71.78,71.735,71.863
1,1.0,1,1017,1.0,0.0,0.0,0.0,2019,Mercedes,France,0,1,1.0,1.0,1.0,90.609,89.52,88.319
2,2.0,822,1017,1.0,0.0,0.0,18.056,2019,Mercedes,France,0,1,2.0,1.0,1.0,90.55,89.437,88.605
3,3.0,844,1017,1.0,0.0,0.0,18.985,2019,Ferrari,France,0,1,3.0,1.0,1.0,90.647,89.699,88.965
4,4.0,830,1017,1.0,0.0,0.0,34.905,2019,Red Bull Racing,France,0,1,4.0,1.0,1.0,91.327,90.099,89.40899999999999
5,7.0,20,1017,1.0,0.0,0.0,62.796,2019,Ferrari,France,0,1,7.0,1.0,1.0,91.075,89.506,89.799
6,6.0,832,1017,1.0,0.0,0.0,95.462,2019,McLaren,France,0,1,6.0,1.0,1.0,91.073,90.319,89.52199999999999
7,12.0,8,1017,1.0,0.0,1.0,,2019,Alfa Romeo,France,0,1,12.0,1.0,0.0,90.972,90.533,
8,13.0,807,1017,1.0,0.0,1.0,,2019,Renault,France,0,1,13.0,1.0,0.0,90.865,90.544,
9,5.0,846,1017,1.0,0.0,1.0,,2019,McLaren,France,0,1,5.0,1.0,1.0,90.989,90.019,89.418
10,9.0,842,1017,1.0,0.0,1.0,,2019,Toro Rosso,France,0,1,9.0,1.0,1.0,91.152,90.421,90.184
11,8.0,817,1017,1.0,0.0,1.0,,2019,Renault,France,0,1,8.0,1.0,1.0,90.954,90.369,89.918
12,14.0,815,1017,1.0,0.0,1.0,,2019,Racing Point,France,0,1,14.0,1.0,0.0,90.964,90.738,
13,17.0,840,1017,1.0,0.0,1.0,,2019,Racing Point,France,0,1,18.0,0.0,0.0,91.726,,
14,19.0,826,1017,1.0,0.0,1.0,,2019,Toro Rosso,France,0,1,16.0,0.0,0.0,91.564,,
15,11.0,848,1017,1.0,0.0,1.0,,2019,Red Bull Racing,France,0,1,11.0,1.0,0.0,91.445,90.461,
16,10.0,841,1017,1.0,0.0,1.0,,2019,Alfa Romeo,France,0,1,10.0,1.0,1.0,91.18,90.408,93.42
17,15.0,825,1017,1.0,0.0,1.0,,2019,Haas,France,0,1,15.0,1.0,0.0,91.166,91.44,
18,18.0,9,1017,1.0,0.0,2.0,,2019,Williams,France,0,1,20.0,0.0,0.0,93.205,,
19,20.0,847,1017,1.0,0.0,2.0,,2019,Williams,France,0,1,19.0,0.0,0.0,92.789,,
NC,16.0,154,1017,0.0,1.0,,,2019,Haas,France,0,1,17.0,0.0,0.0,91.626,,
1,2.0,830,1018,1.0,0.0,0.0,0.0,2019,Red Bull Racing,Austria,0,1,3.0,1.0,1.0,63.807,63.835,63.439
2,1.0,844,1018,1.0,0.0,0.0,2.724,2019,Ferrari,Austria,0,1,1.0,1.0,1.0,64.138,63.378,63.003
3,3.0,822,1018,1.0,0.0,0.0,18.96,2019,Mercedes,Austria,0,1,4.0,1.0,1.0,64.084,63.863,63.537
4,9.0,20,1018,1.0,0.0,0.0,19.61,2019,Ferrari,Austria,0,1,10.0,1.0,0.0,64.43,63.667,
5,4.0,1,1018,1.0,0.0,0.0,22.805,2019,Mercedes,Austria,0,1,2.0,1.0,1.0,63.818,63.803,63.262
6,5.0,846,1018,1.0,0.0,1.0,,2019,McLaren,Austria,0,1,6.0,1.0,1.0,64.361,64.211,64.099
7,8.0,842,1018,1.0,0.0,1.0,,2019,Toro Rosso,Austria,0,1,9.0,1.0,1.0,64.412,63.988,64.199
8,19.0,832,1018,1.0,0.0,1.0,,2019,McLaren,Austria,0,1,15.0,1.0,0.0,64.453,73.601,
9,6.0,8,1018,1.0,0.0,1.0,,2019,Alfa Romeo,Austria,0,1,7.0,1.0,1.0,64.615,64.056,64.166
10,7.0,841,1018,1.0,0.0,1.0,,2019,Alfa Romeo,Austria,0,1,8.0,1.0,1.0,64.45,64.194,64.179
11,13.0,815,1018,1.0,0.0,1.0,,2019,Racing Point,Austria,0,1,16.0,0.0,0.0,64.789,,
12,12.0,817,1018,1.0,0.0,1.0,,2019,Renault,Austria,0,1,14.0,1.0,0.0,64.647,64.79,
13,15.0,807,1018,1.0,0.0,1.0,,2019,Renault,Austria,0,1,12.0,1.0,0.0,64.733,64.516,
14,14.0,840,1018,1.0,0.0,1.0,,2019,Racing Point,Austria,0,1,17.0,0.0,0.0,64.832,,
15,18.0,848,1018,1.0,0.0,1.0,,2019,Red Bull Racing,Austria,0,1,13.0,1.0,0.0,64.708,64.665,
16,11.0,154,1018,1.0,0.0,1.0,,2019,Haas,Austria,0,1,11.0,1.0,0.0,64.55199999999999,64.49,
17,16.0,826,1018,1.0,0.0,1.0,,2019,Toro Rosso,Austria,0,1,18.0,0.0,0.0,65.324,,
18,20.0,847,1018,1.0,0.0,2.0,,2019,Williams,Austria,0,1,19.0,0.0,0.0,65.904,,
19,10.0,825,1018,1.0,0.0,2.0,,2019,Haas,Austria,0,1,5.0,1.0,1.0,64.778,64.466,64.072
20,17.0,9,1018,1.0,0.0,3.0,,2019,Williams,Austria,0,1,20.0,0.0,0.0,66.206,,
1,2.0,1,1019,1.0,0.0,0.0,0.0,2019,Mercedes,Great Britain,1,1,2.0,1.0,1.0,85.513,85.84,85.099
2,1.0,822,1019,1.0,0.0,0.0,24.928,2019,Mercedes,Great Britain,1,1,1.0,1.0,1.0,85.75,85.672,85.093
3,3.0,844,1019,1.0,0.0,0.0,30.117,2019,Ferrari,Great Britain,1,1,3.0,1.0,1.0,85.533,85.54599999999999,85.172
4,5.0,842,1019,1.0,0.0,0.0,34.692,2019,Toro Rosso,Great Britain,1,1,5.0,1.0,1.0,86.273,86.038,85.59
5,4.0,830,1019,1.0,0.0,0.0,39.458,2019,Red Bull Racing,Great Britain,1,1,4.0,1.0,1.0,85.7,85.848,85.276
6,13.0,832,1019,1.0,0.0,0.0,53.639,2019,McLaren,Great Britain,1,1,13.0,1.0,0.0,86.203,86.578,
7,7.0,817,1019,1.0,0.0,0.0,54.401,2019,Renault,Great Britain,1,1,7.0,1.0,1.0,86.428,86.283,86.182
8,12.0,8,1019,1.0,0.0,0.0,65.54,2019,Alfa Romeo,Great Britain,1,1,12.0,1.0,0.0,86.55799999999999,86.54599999999999,
9,17.0,826,1019,1.0,0.0,0.0,66.72,2019,Toro Rosso,Great Britain,1,1,17.0,0.0,0.0,86.721,,
10,10.0,807,1019,1.0,0.0,0.0,72.733,2019,Renault,Great Britain,1,1,10.0,1.0,1.0,86.568,86.39699999999999,86.386
11,8.0,846,1019,1.0,0.0,0.0,74.281,2019,McLaren,Great Britain,1,1,8.0,1.0,1.0,86.07900000000001,86.385,86.224
12,9.0,848,1019,1.0,0.0,0.0,75.617,2019,Red Bull Racing,Great Britain,1,1,9.0,1.0,1.0,86.482,86.40299999999999,86.345
13,18.0,840,1019,1.0,0.0,0.0,81.086,2019,Racing Point,Great Britain,1,1,18.0,0.0,0.0,86.762,,
14,19.0,847,1019,1.0,0.0,1.0,,2019,Williams,Great Britain,1,1,19.0,0.0,0.0,87.789,,
15,20.0,9,1019,1.0,0.0,1.0,,2019,Williams,Great Britain,1,1,20.0,0.0,0.0,88.257,,
16,6.0,20,1019,1.0,0.0,1.0,,2019,Ferrari,Great Britain,1,1,6.0,1.0,1.0,85.898,86.023,85.787
17,15.0,815,1019,1.0,0.0,1.0,,2019,Racing Point,Great Britain,1,1,15.0,1.0,0.0,86.649,86.928,
NC,11.0,841,1019,0.0,1.0,,,2019,Alfa Romeo,Great Britain,1,1,11.0,1.0,0.0,86.449,86.519,
NC,14.0,154,1019,0.0,1.0,,,2019,Haas,Great Britain,1,1,14.0,1.0,0.0,86.34700000000001,86.757,
NC,16.0,825,1019,0.0,1.0,,,2019,Haas,Great Britain,1,1,16.0,0.0,0.0,86.662,,
1,2.0,830,1020,1.0,0.0,0.0,0.0,2019,Red Bull Racing,Germany,1,0,2.0,1.0,1.0,72.593,72.42699999999999,72.113
2,20.0,20,1020,1.0,0.0,0.0,7.333,2019,Ferrari,Germany,1,0,20.0,0.0,0.0,,,
3,14.0,826,1020,1.0,0.0,0.0,8.305,2019,Toro Rosso,Germany,1,0,14.0,1.0,0.0,73.278,73.135,
4,15.0,840,1020,1.0,0.0,0.0,8.966,2019,Racing Point,Germany,1,0,15.0,1.0,0.0,73.256,73.45,
5,7.0,832,1020,1.0,0.0,0.0,9.583,2019,McLaren,Germany,1,0,7.0,1.0,1.0,73.221,72.632,72.897
6,16.0,848,1020,1.0,0.0,0.0,10.052,2019,Red Bull Racing,Germany,1,0,17.0,0.0,0.0,73.461,,
7,6.0,154,1020,1.0,0.0,0.0,16.838,2019,Haas,Germany,1,0,6.0,1.0,1.0,73.146,72.769,72.851
8,12.0,825,1020,1.0,0.0,0.0,18.765,2019,Haas,Germany,1,0,12.0,1.0,0.0,73.103,72.789,
