Position,Starting Grid,kaggle_driver_id,raceId,finished,dnf,laps_down,time_gap_sec,year,Team,Track,rain,sunny
5,7,1,1114,1.0,0.0,0.0,49.376,2023,Mercedes,Japan,0,1
6,6,832,1114,1.0,0.0,0.0,50.221,2023,Ferrari,Japan,0,1
7,8,847,1114,1.0,0.0,0.0,57.659,2023,Mercedes,Japan,0,1
8,10,4,1114,1.0,0.0,0.0,74.725,2023,Aston Martin,Japan,0,1
9,14,839,1114,1.0,0.0,0.0,79.678,2023,Alpine,Japan,0,1
10,12,842,1114,1.0,0.0,0.0,83.155,2023,Alpine,Japan,0,1
11,11,859,1114,1.0,0.0,1.0,,2023,AlphaTauri,Japan,0,1
12,9,852,1114,1.0,0.0,1.0,,2023,AlphaTauri,Japan,0,1
13,19,855,1114,1.0,0.0,1.0,,2023,Alfa Romeo,Japan,0,1
14,18,807,1114,1.0,0.0,1.0,,2023,Haas F1 Team,Japan,0,1
15,15,825,1114,1.0,0.0,1.0,,2023,Haas F1 Team,Japan,0,1
NC,13,848,1114,0.0,1.0,,,2023,Williams,Japan,0,1
NC,20,858,1114,0.0,1.0,,,2023,Williams,Japan,0,1
NC,17,840,1114,0.0,1.0,,,2023,Aston Martin,Japan,0,1
NC,5,815,1114,0.0,1.0,,,2023,Red Bull Racing,Japan,0,1
NC,16,822,1114,0.0,1.0,,,2023,Alfa Romeo,Japan,0,1
